GemName,X,Y
Rohr,638756.3474999999,251270.16499999998
Boningen,631916.4165,238995.1965
Büsserach,608229.5265,248791.032
Egerkingen,627102.7679999999,241712.711
Walterswil,640126.587,242059.4535
Obergösgen,638830.4454999999,245962.52850000001
Mümliswil-Ramiswil,617044.358,244281.7375
Subingen,614157.919,227592.20500000002
Oberdorf,603837.217,232008.2035
Rüttenen,607279.375,232042.40364837286
Bärschwil,602118.4369999999,248457.652
Beinwil,611484.2135000001,244830.555
Meltingen,611567.3674999999,247806.483
Zullwil,612395.188,248582.0895
Etziken,615644.5155,226142.72999999998
Eppenberg-Wöschnau,644204.364,247886.159
Günsberg,610056.551,234662.75400000002
Trimbach,633881.7805,246758.2
Matzendorf,614380.633,239681.8515
Kappel,631588.585,241332.255
Gunzgen,629921.155,240061.925
Welschenrohr,606360.3695,235851.001
Kienberg,639861.842,254747.1845
Laupersdorf,616103.563,239907.048
Witterswil,606554.919,259661.0735
Recherswil,612544.7455,223336.429
Unterramsern,603189.7409999999,218655.7115
Lohn-Ammannsegg,606760.286,224852.19199999998
Fehren,610650.665,249668.538
Olten,635005.3265,243338.053
Oensingen,621169.092,237055.443
Metzerlen,602378.5264999999,257213.81449999998
Bolken,616792.931,226934.4895
Hofstetten-Flüh,605290.460773903,258117.453
Obergerlafingen,610964.84,223321.053
Balm b. Günsberg,607948.3489999999,234330.3205
Hägendorf,629233.679,243954.137
Balsthal,620360.6875,240263.39250000002
Bettlach,598558.324,228315.2745
Oekingen,613621.3470000001,225518.5635
Däniken,640553.8155,244579.43696213304
Kriegstetten,611828.5774999999,224931.9575
Gretzenbach,641916.8605,244493.6725
Wisen,634031.838,249487.6085
Dulliken,638370.3435,243946.957
Rodersdorf,600539.9955,259293.0605
Erschwil,607971.2154999999,246759.11849999998
Grenchen,596021.1945,227677.90000000002
Lostorf,637287.0205000001,248862.7905
Schönenwerd,643140.327,247118.80849999998
Deitingen,613586.88,229625.0325
Luterbach,611280.4985,229238.60499999998
Herbetswil,609244.4725,238342.96000000002
Oberbuchsiten,624123.3295,240243.0125
Kammersrohr,611624.1315,233993.3555
Niedergösgen,641114.6,247276.4435
Härkingen,628903.1,239318.60499999998
Gempen,616804.3045,258909.336
Derendingen,611492.8400000001,226978.29
Gerlafingen,610172.0575,224359.0495
Stüsslingen,640008.6714999999,249439.36
Lommiswil,602367.3605,230895.532
Feldbrunnen-St.Niklaus,608734.5650053136,230506.52850000001
Wolfwil,627080.1984999999,235437.6995
Hüniken,614869.5495,225811.2
Zuchwil,609386.2864999999,228368.36
Biberist,608013.115,225600.97749999998
Solothurn,606983.1625,228575.47
Lüterkofen-Ichertswil,604749.475,223627.49
Bättwil,605271.5604999999,260253.87099999998
Halten,613170.3955,224155.0275
Starrkirch-Wil,636774.6074999999,243903.78149999998
Flumenthal,612424.591,231557.4575
Erlinsbach SO,641758.844,250151.5225
Lüterswil-Gächliwil,600263.113,218942.5685
Messen,600340.899,216274.81449999998
Büren,617554.49,255241.396
Nuglar-St.Pantaleon,618814.7035000001,257664.878
Aeschi,617800.1,224313.4217262693
Drei Höfe,614851.5904999999,223283.313
Lüsslingen-Nennigkofen,604106.7885,226323.2745
Hubersdorf,611382.5935,232672.09649999999
Biezwil,598673.729,217723.1065
Selzach,600657.421,229652.11
Gänsbrunnen,602119.7760000001,235192.42599999998
Hauenstein-Ifenthal,631596.879,246855.503
Grindel,605013.7390000001,247709.0165
Dornach,614107.6265,258392.0295
Langendorf,605776.6215,230076.075
Holderbank,623982.753,242311.45400000003
Kestenholz,623958.478,236299.251
Fulenbach,629739.3045,236692.4925
Neuendorf,627387.4,238520.665
Wangen b. Olten,632526.6980000001,243260.6005
Niederbuchsiten,625686.517,237587.3455
Horriwil,614388.371,225532.14812910568
Aedermannsdorf,610970.077230778,239570.954
Winznau,636302.578,246649.6557731958
Kleinlützel,598274.7515,253092.00050000002
Bellach,604358.158,228806.52000000002
Rickenbach,631595.4014999999,243498.174
Schnottwil,596381.255,217565.419
Hochwald,615419.17,255919.446
Breitenbach,608895.0645,250433.4
Riedholz,610119.3984999999,231787.552
Seewen,615371.3415000001,253055.69400000002
Himmelried,611610.3685000001,252599.94150000002
Nunningen,613181.8255,249047.37099999998
Buchegg,602816.9375,220644.685
