X , Y , xOffset , yOffset , Wert Band 1 , Wert Band 2 , Wert Band 3 
614157.919, 227592.20500000002, 4431, 1881, 69, 92, 78,
603837.217, 232008.2035, 2367, 998, 61, 63, 69,
607279.375, 232042.40364837286, 3055, 991, 63, 88, 71,
615644.5155, 226142.72999999998, 4728, 2171, 167, 162, 150,
610056.551, 234662.75400000002, 3611, 467, 201, 163, 149,
606360.3695, 235851.001, 2872, 229, 111, 122, 105,
612544.7455, 223336.429, 4108, 2732, 72, 94, 85,
603189.7409999999, 218655.7115, 2237, 3668, 137, 148, 163,
606760.286, 224852.19199999998, 2952, 2429, 83, 79, 78,
616792.931, 226934.4895, 4958, 2013, 110, 115, 101,
610964.84, 223321.053, 3792, 2735, 178, 171, 164,
607948.3489999999, 234330.3205, 3189, 533, 91, 104, 84,
598558.324, 228315.2745, 1311, 1736, 57, 79, 67,
613621.3470000001, 225518.5635, 4324, 2296, 98, 93, 92,
611828.5774999999, 224931.9575, 3965, 2413, 66, 89, 78,
596021.1945, 227677.90000000002, 804, 1864, 37, 49, 56,
613586.88, 229625.0325, 4317, 1474, 115, 114, 104,
611280.4985, 229238.60499999998, 3856, 1552, 76, 81, 77,
611624.1315, 233993.3555, 3924, 601, 176, 161, 148,
611492.8400000001, 226978.29, 3898, 2004, 40, 56, 61,
610172.0575, 224359.0495, 3634, 2528, 75, 82, 88,
602367.3605, 230895.532, 2073, 1220, 102, 108, 96,
608734.5650053136, 230506.52850000001, 3346, 1298, 80, 93, 80,
614869.5495, 225811.2, 4573, 2237, 66, 85, 74,
609386.2864999999, 228368.36, 3477, 1726, 161, 156, 156,
608013.115, 225600.97749999998, 3202, 2279, 136, 143, 138,
606983.1625, 228575.47, 2996, 1684, 48, 60, 68,
604749.475, 223627.49, 2549, 2674, 98, 107, 96,
613170.3955, 224155.0275, 4234, 2568, 91, 91, 90,
612424.591, 231557.4575, 4084, 1088, 78, 91, 79,
600263.113, 218942.5685, 1652, 3611, 115, 120, 109,
600340.899, 216274.81449999998, 1668, 4145, 82, 91, 81,
617800.1, 224313.4217262693, 5160, 2537, 44, 59, 65,
614851.5904999999, 223283.313, 4570, 2743, 71, 89, 79,
604106.7885, 226323.2745, 2421, 2135, 93, 97, 95,
611382.5935, 232672.09649999999, 3876, 865, 113, 106, 106,
598673.729, 217723.1065, 1334, 3855, 7, 23, 33,
600657.421, 229652.11, 1731, 1469, 71, 89, 76,
602119.7760000001, 235192.42599999998, 2023, 361, 0, 0, 0,
605776.6215, 230076.075, 2755, 1384, 143, 141, 141,
614388.371, 225532.14812910568, 4477, 2293, 202, 190, 179,
604358.158, 228806.52000000002, 2471, 1638, 109, 109, 111,
596381.255, 217565.419, 876, 3886, 124, 109, 104,
610119.3984999999, 231787.552, 3623, 1042, 120, 118, 100,
602816.9375, 220644.685, 2163, 3271, 133, 125, 121,
